"SYSTEM", "1", "SYSTEM", "System Start", " "
"Thread-4", "291", "RW_Semaphore.java:122", "Line Step", " file=RW_Semaphore.java, line=122"
"Thread-0", "292", "RW_Semaphore.java:136", "Field Write", " context=Database:1, w=1"
"main", "293", "RW_Semaphore.java:9", "Method Returned", " "
"main", "294", "SYSTEM", "Thread End", " "
"Thread-9", "295", "RW_Semaphore.java:47", "Field Read", " context=Reader:5, d"
"Thread-8", "296", "RW_Semaphore.java:47", "Method Call", " caller=Reader:4#run:4, target=Database:1#request_read:4"
"Thread-8", "297", "RW_Semaphore.java:89", "Method Entered", " "
"Thread-8", "298", "RW_Semaphore.java:91", "Line Step", " file=RW_Semaphore.java, line=91"
"Thread-4", "299", "RW_Semaphore.java:122", "Field Read", " context=Database:1, s"
"Thread-0", "300", "RW_Semaphore.java:137", "Line Step", " file=RW_Semaphore.java, line=137"
"Thread-9", "301", "RW_Semaphore.java:47", "Method Call", " caller=Reader:5#run:5, target=Database:1#request_read:5"
"Thread-9", "302", "RW_Semaphore.java:89", "Method Entered", " "
"Thread-9", "303", "RW_Semaphore.java:91", "Line Step", " file=RW_Semaphore.java, line=91"
"Thread-8", "304", "RW_Semaphore.java:91", "Field Read", " context=Database:1, s"
"Thread-0", "305", "RW_Semaphore.java:137", "Method Exit", " returner=Database:1#request_write:1, value=<void>"
"Thread-9", "306", "RW_Semaphore.java:91", "Field Read", " context=Database:1, s"
"Thread-0", "307", "RW_Semaphore.java:67", "Method Returned", " "
"Thread-0", "308", "RW_Semaphore.java:68", "Line Step", " file=RW_Semaphore.java, line=68"
"Thread-0", "309", "RW_Semaphore.java:68", "Field Read", " context=Writer:1, d"
"Thread-0", "310", "RW_Semaphore.java:68", "Field Read", " context=Writer:1, x"
"Thread-0", "311", "RW_Semaphore.java:68", "Method Call", " caller=Writer:1#run:1, target=Database:1#write:1"
"Thread-0", "312", "RW_Semaphore.java:152", "Method Entered", " "
"Thread-0", "313", "RW_Semaphore.java:152", "Variable Write", " context=Database:1#write:1, x=1"
"Thread-0", "314", "RW_Semaphore.java:153", "Line Step", " file=RW_Semaphore.java, line=153"
"Thread-0", "315", "RW_Semaphore.java:153", "Field Read", " context=Database:1, data"
"Thread-0", "316", "RW_Semaphore.java:153", "Field Write", " context=Database:1, data=1"
"Thread-0", "317", "RW_Semaphore.java:154", "Line Step", " file=RW_Semaphore.java, line=154"
